HYUNDAI  H-100 (4D55) (8V) YENİ MODEL;OZ1098;EX;;38,10;30,00;10,00;45°
IHI-SHIBAURA  TRAKTÖR (8V);OZ1099;IN;;40,05;33,60;6,30;45°
IHI-SHIBAURA  TRAKTÖR (8V);OZ1100;EX;;33,55;27,90;6,30;45°
INTER  654 TRAKTÖR (D206)  (8V);OZ1101;IN;;48,00;38,00;10,00;45°
INTER  654 TRAKTÖR (D206)  (8V);OZ1102;EX;;42,15;36,00;10,00;45°
INTER  1800 KAMYON  (12V);OZ1103;IN;;48,00;38,00;10,00;45°
INTER  1800 KAMYON  (12V);OZ1104;EX;;42,15;36,00;10,00;45°
ISUZU  NPR 3.9L (4BD1) (8V);OZ1105;IN;;47,15;39,90;7,10;45°
ISUZU  NPR 3.9L (4BD1) (8V);OZ1106;EX;;39,15;31,00;7,10;45°
ISUZU  NQR 16V (4HK1-6HK1);OZ1107;IN;;38,10;30,90;6,50;30°
ISUZU  NQR 16V (4HK1-6HK1);OZ1108;EX;;38,10;31,90;6,00;45°
İVECO STRALİS,TRAKKER CURSOR 10;OZ1109;IN;;44,35;39,15;9,00;
İVECO STRALİS,TRAKKER CURSOR 11;OZ1110;EX;;43,15;94,60;7,80;
İVECO STRALİS,TRAKKER CURSOR 13;OZ1111;IN;;49,25;38,40;7,65;
İVECO STRALİS,TRAKKER CURSOR 14;OZ1112;EX;;47,05;38,40;7,80;
KIA  BESTA  (8V);OZ1113;IN;;43,00;37,00;8,00;45°
KIA  BESTA  (8V);OZ1114;EX;;38,00;30,00;9,00;45°
KIA  BONGO  (8V);OZ1115;IN;;45,40;38,00;8,00;45°
KIA  BONGO  (8V);OZ1116;EX;;38,20;32,00;8,00;45°
KIA  2700 CERES (12V);OZ1117;IN;;45,80;38,00;6,00;
KIA  2700 CERES (12V);OZ1118;EX;;38,30;31,00;6,25;
KIA  SEPHIA  (16V);OZ1119;IN;;34,00;27,00;8,00;45°
KIA  SEPHIA  (16V);OZ1120;EX;;29,00;23,00;8,00;45°
KOMATSU  105;OZ1121;IN;;48,55;40,70;8,50;30°
KOMATSU  106;OZ1122;EX;;44,05;34,60;9,00;45°
KOMATSU  140 (12V);OZ1123;IN;;55,15;44,60;8,80;30°
KOMATSU  140 (12V);OZ1124;EX;;52,15;43,00;8,60;45°
KOMATSU  155 (16V);OZ1125;IN;;60,15;51,10;8,95;30°
KOMATSU  155 (16V);OZ1126;EX;;57,15;48,10;8,95;45°
LAND ROVER  200-300 TDİ;OZ1127;IN;;40,60;34,00;9,15;30°
LAND ROVER  200-300 TDİ;OZ1128;EX;;38,25;30,60;9,25;45°
LOMBARDINI  LDA 640;OZ1129;IN;;35,16;30,05;6,00;45°
LOMBARDINI  LDA 641;OZ1130;EX;;31,16;26,05;6,00;45°
MAGIRUS - KHD 1013  (12V);OZ1131;IN;;49,15;38,60;7,50;30°
MAGIRUS - KHD 1013  (12V);OZ1132;EX;;43,65;34,90;7,90;45°
MAGIRUS - KHD 413  (12V);OZ1133;IN;;56,20;47,00;12,00;30°
MAGIRUS - KHD 413  (12V);OZ1134;EX;;49,20;42,00;12,00;45°
   MAGIRUS - KHD 2012-2013;OZ1135;IN;;46,10;36,00;6,80;
   MAGIRUS - KHD 2012-2013;OZ1136;EX;;40,00;30,10;7,35;
MAGIRUS    912  (8V);OZ1137;IN;;45,70;36,00;10,00;45°
MAGIRUS    912  (8V);OZ1138;EX;;40,20;31,00;9,80;45°
MAGIRUS    912  YENİ MODEL  (8V);OZ1139;IN;;45,70;38,00;10,00;45°
MAGIRUS    912  YENİ MODEL  (8V);OZ1140;EX;;40,20;31,00;9,80;45°
   MAGIRUS - KHD 1012;OZ1141;IN;;42,80;33,70;7,00;45°
MAGIRUS - KHD 1013;OZ1142;EX;;37,00;30,20;7,80;45°
MAGIRUS - KHD 1011  (8V);OZ1143;IN;;42,70;34,00;7,60;45°
MAGIRUS - KHD 1011  (8V);OZ1144;EX;;37,35;28,70;7,25;45°
MAGIRUS - KHD 816  (12V);OZ1145;IN;;65,12;;;
MAGIRUS - KHD 816  (12V);OZ1146;EX;;58,08;;;
